EMPLOYER,JOB TITLE,BASE SALARY,LOCATION,SUBMIT DATE,START DATE
NETEFFECTS INC,DATA ENGINEER,"100,000","HAZELWOOD, MO",02/04/2022,02/04/2022
SAGARSOFT INC,DATA ENGINEER,"100,000","ATLANTA, GA",03/03/2022,03/14/2022
AMP SOLUTIONS LLC,DATA ENGINEER,"100,000","NEW YORK, NY",05/11/2022,10/01/2022
AGAMA SOLUTIONS INC,DATA ENGINEER,"101,220","TEMPE, AZ",06/03/2022,10/01/2022
AMP SOLUTIONS LLC,DATA ENGINEER,"102,000","FRANKLIN, TN",06/06/2022,10/01/2022
POPULUS GROUP LLC,DATA ENGINEER,"103,840","LEANDER, TX",11/11/2022,11/28/2022
TECSPIRIT CORP,DATA ENGINEER,"104,000","IRVING, TX",07/29/2022,08/05/2022
ALPHA CLINICAL SYSTEMS INC,DATA ENGINEER,"104,000","RICHMOND, VA",04/25/2022,05/03/2022
SOPHLOGIC GLOBAL LLC,DATA ENGINEER,"104,000","BELLEVUE, WA",05/04/2022,05/13/2022
VINANI INC,DATA ENGINEER,"104,340","EL DORADO HILLS, CA",07/05/2022,07/05/2022
VINANI INC,DATA ENGINEER,"104,340","EL DORADO HILLS, CA",07/12/2022,07/18/2022
HCL GLOBAL SYSTEMS INC,DATA ENGINEER,"104,940","AUSTIN, TX",05/26/2022,05/26/2022
ARTIFICIAL INVENTIONS LLC,DATA ENGINEER,"105,080","NEWYORK, NY",10/18/2022,10/24/2022
THE BOSTON CONSULTING GROUP INC,DATA ENGINEER,"105,080","NEW YORK, NY",12/14/2022,12/15/2022
HCL GLOBAL SYSTEMS INC,DATA ENGINEER,"105,380","HOUSTON, TX",03/15/2022,03/15/2022
COLLABERA INC,DATA ENGINEER,"106,000","PORTLAND, ME",05/05/2022,10/01/2022
DECHEN CONSULTING GROUP INC,DATA ENGINEER,"106,900","DEARBORN, MI",06/22/2022,06/22/2022
EYVATEK LLC,DATA ENGINEER,"108,040","AUSTIN, TX",09/07/2022,09/15/2022
ADVANTIS GLOBAL INC,DATA ENGINEER,"110,000","LEANDER, TX",04/05/2022,10/01/2022
POPULUS GROUP LLC,DATA ENGINEER,"110,000","ORLANDO, FL",06/07/2022,06/27/2022
ASTA CRS INC,DATA ENGINEER,"110,480","CUPERTINO, CA",01/07/2022,01/07/2022
CLOUD NINE TEK LLC,DATA ENGINEER,"111,140","HOPKINTON, MA",10/18/2022,10/24/2022
SOFT NUT INC,DATA ENGINEER,"112,000","NEW YORK, NY",12/20/2022,12/20/2022
HCL GLOBAL SYSTEMS INC,DATA ENGINEER,"112,440","RICHARDSON, TX",11/14/2022,11/21/2022
MACROSOFT INC,DATA ENGINEER,"112,500","CREVE COEUR, MO",03/11/2022,03/28/2022
CALIFORNIA CREATIVE SOLUTIONS INC,DATA ENGINEER,"113,820","LOS ANGELES, CA",04/18/2022,10/01/2022
